tid,count,score,anomaly_win,template
1,2,10.4147,0,"reverse mapping checking getaddrinfo for <NUM> <NUM> <NUM> <NUM> rev poneytelecom eu <IP> failed possible break in attempt"
2,63,7.35441,0,"reverse mapping checking getaddrinfo for <NUM> subnet118 <NUM> <NUM> static astinet telkom net id <IP> failed possible break in attempt"
3,2177,3.82713,0,"failed password for <*> <*> <*> <*> <*> <*> <*>"
4,4,9.90386,0,"fatal <*> <*> <*> <*> <*> <*> <*> <*> <*>"
5,32,8.01679,0,"fatal read from socket failed connection reset by peer preauth"
6,80,7.11885,0,"reverse mapping checking getaddrinfo for customer <NUM> <NUM> <NUM> <NUM> sta uninet ide com mx <IP> failed possible break in attempt"
7,12,8.94835,0,"address <IP> maps to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
8,88,7.02466,0,"did not receive identification string from <IP>"
9,2213,3.81074,0,"pam_unix sshd auth check pass user unknown"
10,1,10.8201,1,"reverse mapping checking getaddrinfo for hn kd ny adsl <IP> failed possible break in attempt"
11,3448,3.36746,0,"<*> <*> <*> <*> <*> <*>"
12,2,10.4147,0,"message repeated <NUM> times failed password for root from <IP> port <NUM> ssh2"
13,19,8.51756,0,"error received disconnect from <IP> <NUM> com jcraft jsch jschexception auth fail preauth"
14,120,6.7175,0,"error received disconnect from <IP> <NUM> no more user authentication methods available preauth"
15,6255,2.772,0,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
16,80,7.11885,0,"pam <NUM> more authentication failures logname uid <NUM> euid <NUM> tty ssh ruser rhost <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
17,16,8.68008,0,"pam_unix sshd session session closed for user curi"
18,127,6.66127,0,"pam service sshd ignoring max retries <NUM> <NUM>"
19,109,6.81282,0,"disconnecting too many authentication failures for root preauth"
20,14023,1.96477,0,"received disconnect from <IP> <NUM> bye bye preauth"
21,20841,1.56857,0,"<*> password for <*> from <IP> port <NUM> ssh2"
22,31003,1.17142,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
23,2193,3.81981,0,"failed <*> for invalid user <*> <*> <*> <*> <*> <*> <*>"
24,2,10.4147,0,"bad protocol version identification <*> <*> <*> <*> <*> <*> <*> <*>"
25,2,10.4147,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost <IP> dynamic dsl ip omantel net om user root"
26,50,7.58147,0,"failed <*> for invalid user <*> from <IP> port <NUM> ssh2"
27,33,7.98693,0,"received disconnect from <IP> <NUM> closed due to user request preauth"
28,15,8.74071,0,"pam_unix sshd session session opened for user jmzhu by uid <NUM>"
29,1,10.8201,1,"disconnecting packet corrupt preauth"
30,4,9.90386,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost <*> <*> ibaraki ocn ne jp <*> <*>"
31,35,7.92978,0,"input_userauth_request invalid user <*> preauth"
32,35,7.92978,0,"invalid user <*> from <IP>"
33,2,10.4147,0,"fatal no hostkey alg preauth"
34,1,10.8201,1,"bad packet length <NUM> preauth"
35,16745,1.78738,0,"connection closed by <IP> preauth"
36,166,6.3953,0,"reverse mapping checking getaddrinfo for <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
37,1,10.8201,1,"reverse mapping checking getaddrinfo for <IP> broad hz zj dynamic 163data com cn <IP> failed possible break in attempt"
