threshold,10.230252107,N/A,N/A,N/A
tid,count,score,anomaly_win,template
1,1,10.230252107,1,"pam_unix sshd auth authentication failure logname uid <NUM> euid <NUM> tty ssh ruser rhost s0106802aa8cd93bf vn shawcable net user root"
2,1,10.230252107,1,"pam_unix sshd auth authentication failure logname uid <NUM> euid <NUM> tty ssh ruser rhost host <NUM> wireless cinte com br"
3,3,9.537104927,0,"address <IP> maps to static vnpt vn but this does not map back to the address possible break in attempt"
4,1,10.230252107,1,"pam <NUM> more authentication failures logname uid <NUM> euid <NUM> tty ssh ruser rhost host <NUM> wireless cinte com br"
5,2,9.824786999,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost <NUM> <NUM> <NUM> customer lyse net"
6,1,10.230252107,1,"address <IP> maps to localhost but this does not map back to the address possible break in attempt"
7,2,9.824786999,0,"pam_unix sshd auth authentication failure logname uid <NUM> euid <NUM> tty ssh ruser rhost s0106802aa8cd93bf vn shawcable net"
8,179,5.730442437,0,"reverse mapping checking getaddrinfo for host42 <NUM> <NUM> <NUM> serverdedicati aruba it <IP> failed possible break in attempt"
9,1,10.230252107,1,"reverse mapping checking getaddrinfo for <NUM> <NUM> <NUM> <NUM> rev poneytelecom eu <IP> failed possible break in attempt"
10,1,10.230252107,1,"syslogin_perform_logout logout returned an error"
11,534,4.641132541,0,"connection closed by <IP> preauth"
12,2,9.824786999,0,"invalid user tomcat from <IP>"
13,12,8.358449931,0,"invalid user test from <IP>"
14,857,4.168795189,0,"invalid user sshusr from <IP>"
15,1,10.230252107,1,"invalid user utsims from <IP>"
16,130,6.048201965,0,"invalid user admin from <IP>"
17,7,8.843957746,0,"invalid user guest from <IP>"
18,13,8.284341958,0,"invalid user pi from <IP>"
19,16,8.090185944,0,"invalid user support from <IP>"
20,7,8.843957746,0,"invalid user ubnt from <IP>"
21,3,9.537104927,0,"invalid user telnet from <IP>"
22,2,9.824786999,0,"invalid user butter from <IP>"
23,5,9.131639819,0,"invalid user monitor from <IP>"
24,8,8.726174711,0,"invalid user acs from <IP>"
25,1,10.230252107,1,"invalid user admln from <IP>"
26,2,9.824786999,0,"invalid user aiuap from <IP>"
27,3,9.537104927,0,"invalid user ajay from <IP>"
28,1,10.230252107,1,"invalid user alan from <IP>"
29,1,10.230252107,1,"invalid user alice from <IP>"
30,1,10.230252107,1,"invalid user ami from <IP>"
31,1,10.230252107,1,"invalid user bacula from <IP>"
32,1,10.230252107,1,"invalid user bash_spm from <IP>"
33,1,10.230252107,1,"invalid user bichongxing from <IP>"
34,1,10.230252107,1,"invalid user bjbnet from <IP>"
35,1,10.230252107,1,"invalid user bmuuser from <IP>"
36,1,10.230252107,1,"invalid user bocosftp from <IP>"
37,2,9.824786999,0,"invalid user boot from <IP>"
38,1,10.230252107,1,"invalid user boss from <IP>"
39,2,9.824786999,0,"invalid user bosstt from <IP>"
40,1,10.230252107,1,"invalid user bssbill from <IP>"
41,2,9.824786999,0,"invalid user bss from <IP>"
42,1,10.230252107,1,"invalid user bill from <IP>"
43,3,9.537104927,0,"invalid user ctssh from <IP>"
44,1,10.230252107,1,"invalid user letvuser from <IP>"
